,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
284,azaksiwbai,Acer B,4813320362,1233494960818786311,/azaksiwbai/status/1233494960818786311,2020-02-28 20:51:30,1582923090,This movie was...not easy. But I still have a whole lot of love for it in my heart right now. #AlltheBrightPlaces,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This movie was...not easy. But I still have a whole lot of love for it in my heart right now. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
285,azaksiwbai,Acer B,4813320362,1233494850412204032,/azaksiwbai/status/1233494850412204032,2020-02-28 20:51:04,1582923064,"“Ultraviolet, know what I like about you? You’re all the colors in one. On full brightness”  #AlltheBrightPlaces","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">“Ultraviolet, know what I like about you? You’re all the colors in one. On full brightness” <img alt=""🥺"" aria-label=""Emoji: Pleading face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f97a.png"" title=""Pleading face""/><img alt=""🥺"" aria-label=""Emoji: Pleading face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f97a.png"" title=""Pleading face""/><img alt=""🥺"" aria-label=""Emoji: Pleading face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f97a.png"" title=""Pleading face""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
286,0hwell00hwell,Anya,107510437,1233494755880861696,/0hwell00hwell/status/1233494755880861696,2020-02-28 20:50:41,1582923041,Got 8 minutes into #AlltheBrightPlaces can't cope with any more changes to  one of my favourite books ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Got 8 minutes into <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> can't cope with any more changes to  one of my favourite books <img alt=""😒"" aria-label=""Emoji: Unamused face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f612.png"" title=""Unamused face""/></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
287,nadi85S,Nadini,392874987,1233494529749266433,/nadi85S/status/1233494529749266433,2020-02-28 20:49:47,1582922987,Nw #AlltheBrightPlaces loved the book so much ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Nw <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> loved the book so much <img alt=""🖤"" aria-label=""Emoji: Black heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f5a4.png"" title=""Black heart""/></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
288,hollylawsxx,🥰holly🥰,1102184068278611968,1233494055646121986,/hollylawsxx/status/1233494055646121986,2020-02-28 20:47:54,1582922874,"#AlltheBrightPlaces I’ve said it once and I’ll say it again, the book is always better than the film","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> I’ve said it once and I’ll say it again, the book is always better than the film</p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
289,thebrightchapts,thebrightchapters,1213112655902212096,1233493997378822145,/thebrightchapts/status/1233493997378822145,2020-02-28 20:47:40,1582922860,Actuellement entrain de ENJOY  tous nos jours parfaits #AlltheBrightPlaces ENFIN ! @NetflixFR,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">Actuellement entrain de ENJOY <img alt=""❤"" aria-label=""Emoji: Red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Red heart""/> tous nos jours parfaits <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> ENFIN ! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2341888057"" dir=""ltr"" href=""/NetflixFR""><s>@</s><b>NetflixFR</b></a></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
290,cinemateq_,Cinemateq,1102754424412233729,1233493924548726785,/cinemateq_/status/1233493924548726785,2020-02-28 20:47:23,1582922843,"What 5 Elle Fanning films should you watch after #AlltheBrightPlaces? Watch our list to find out!

https://youtu.be/MhXy3MXTbGA 

Elle Fanning stans show up!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What 5 Elle Fanning films should you watch after <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a>? Watch our list to find out!

<a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/MhXy3MXTbGA"" dir=""ltr"" href=""https://t.co/732N31EcNv"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/MhXy3MXTbGA""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/MhXy3MXTbGA</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>

Elle Fanning stans show up!</p>",['https://youtu.be/MhXy3MXTbGA'],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
291,sheeregui17,🔮 rox 🇵🇪 NADA | #SaveSkamNL,540184902,1233493788951220225,/sheeregui17/status/1233493788951220225,2020-02-28 20:46:51,1582922811,"Ahora que Netflix ha adaptado #AlltheBrightPlaces necesito que sea quien adapte The Ends With Us de Colleen Hoover, ese libro es tan delicado y trata temas importantes que creo todo el mundo debe ver.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Ahora que Netflix ha adaptado <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> necesito que sea quien adapte The Ends With Us de Colleen Hoover, ese libro es tan delicado y trata temas importantes que creo todo el mundo debe ver.</p>",[],['AlltheBrightPlaces'],False,[],,2,0,0,False,False,,[]
292,_heecarvalho,Helena,831824546055467012,1233493701755916288,/_heecarvalho/status/1233493701755916288,2020-02-28 20:46:30,1582922790,#AllTheBrightPlaces nunca mais crio expectativa pra adaptação de livro que gosto nunca mais crio expectativa pra adaptação de livro que gosto nunca mais crio expectativa pra adaptação de livro que gosto nunca mais crio expectativa pra adaptação de livro que gosto nunca mais cri,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AllTheBrightPlaces?src=hash""><s>#</s><b><strong>AllTheBrightPlaces</strong></b></a> nunca mais crio expectativa pra adaptação de livro que gosto nunca mais crio expectativa pra adaptação de livro que gosto nunca mais crio expectativa pra adaptação de livro que gosto nunca mais crio expectativa pra adaptação de livro que gosto nunca mais cri</p>",[],['AllTheBrightPlaces'],False,[],,2,0,0,False,False,,[]
293,clairecstern,Claire Stern,164086964,1233493549641060352,/clairecstern/status/1233493549641060352,2020-02-28 20:45:54,1582922754,Talked to Elle Fanning about YA romance and #AlltheBrightPlaces for @NylonMag thanks to the awesomest @alyssavinganhttps://nylon.com/elle-fanning-bright-places-interview …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Talked to Elle Fanning about YA romance and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14222518"" dir=""ltr"" href=""/NylonMag""><s>@</s><b>NylonMag</b></a> thanks to the awesomest <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""56641453"" dir=""ltr"" href=""/alyssavingan""><s>@</s><b>alyssavingan</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nylon.com/elle-fanning-bright-places-interview"" dir=""ltr"" href=""https://t.co/tnc4EBI6UR"" rel=""nofollow noopener"" target=""_blank"" title=""https://nylon.com/elle-fanning-bright-places-interview""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nylon.com/elle-fanning-b</span><span class=""invisible"">right-places-interview</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://nylon.com/elle-fanning-bright-places-interview'],['AlltheBrightPlaces'],False,[],,3,1,0,False,False,,[]
294,perraroamanda,amanda perraro,1915735394,1233493514060734468,/perraroamanda/status/1233493514060734468,2020-02-28 20:45:45,1582922745,"""Mãe, quarenta e um anos não é tanto assim. Decca, às vezes há beleza nas palavras difíceis — depende da maneira como as lemos. Kate, cuide do seu coração e lembre que você é melhor que qualquer cara. Você é incrível. Todas vocês são."" #AlltheBrightPlaces","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">""Mãe, quarenta e um anos não é tanto assim. Decca, às vezes há beleza nas palavras difíceis — depende da maneira como as lemos. Kate, cuide do seu coração e lembre que você é melhor que qualquer cara. Você é incrível. Todas vocês são."" <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
295,missarcheron,𝐼𝑠𝑠𝑦 🐝,790629887476400132,1233493414265704450,/missarcheron/status/1233493414265704450,2020-02-28 20:45:21,1582922721,"Queria que o filme tivesse se aprofundado mais em diversos assuntos do filme. Ainda prefiro o livro vou mentir não, mas choramos com o final de qualquer jeito kk.

#AlltheBrightPlaces","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Queria que o filme tivesse se aprofundado mais em diversos assuntos do filme. Ainda prefiro o livro vou mentir não, mas choramos com o final de qualquer jeito kk.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a></p>",[],['AlltheBrightPlaces'],False,[],,1,1,0,False,False,,[]
296,crazynified,Iffy,49614502,1233493115723567104,/crazynified/status/1233493115723567104,2020-02-28 20:44:10,1582922650,"Cried for the book, cried for this. #AllTheBrightPlaces on Netflix now. Trigger warning on suicide.

To the holder of my book - hurtful words don't define you. https://twitter.com/EverythingtvM/status/1233482516222398464 …pic.twitter.com/cI8iJoIy0Z","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Cried for the book, cried for this. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AllTheBrightPlaces?src=hash""><s>#</s><b><strong>AllTheBrightPlaces</strong></b></a> on Netflix now. Trigger warning on suicide.

To the holder of my book - hurtful words don't define you. <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/EverythingtvM/status/1233482516222398464"" dir=""ltr"" href=""https://t.co/oeOQgMLBRp"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/EverythingtvM/status/1233482516222398464""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/EverythingtvM/</span><span class=""invisible"">status/1233482516222398464</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cI8iJoIy0Z"">pic.twitter.com/cI8iJoIy0Z</a></p>",['https://twitter.com/EverythingtvM/status/1233482516222398464'],['AllTheBrightPlaces'],True,"['https://pbs.twimg.com/media/ER4_cAHUEAAzgWm.jpg', 'https://pbs.twimg.com/media/ER4_cfLUcAA-tSG.jpg']",,3,1,0,False,False,,[]
297,happ_ash,Ash☀️⁷,983078430467117058,1233492826568216581,/happ_ash/status/1233492826568216581,2020-02-28 20:43:01,1582922581,"Damn #AlltheBrightPlaces is such a good film, so sad ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Damn <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> is such a good film, so sad <img alt=""😞"" aria-label=""Emoji: Disappointed face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f61e.png"" title=""Disappointed face""/></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
